"STATION","NAME","DATE","AWND","PGTM","PRCP","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT08"
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-06-09","8.28"," 2227","0.00","95","62","  220","  220","18.1","23.9",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-06-10","15.88"," 0212","0.00","87","68","  210","  200","31.1","40.9",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-06-11","8.05"," 1404","0.00","95","59","  330","  300","21.0","27.1",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-06-12","9.17"," 1306","0.00","96","65","  250","  230","19.9","25.9",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-06-13","11.86"," 1518","0.00","99","63","  260","  290","29.1","36.0",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-06-14","18.79"," 1229","0.00","93","63","  250","  250","32.0","40.9",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-06-15","10.29"," 1535","0.00","90","59","  290","  270","21.9","27.1",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-06-16","9.17"," 1714","0.00","92","59","  250","  270","21.0","33.1",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-06-17","10.07"," 1454","0.00","92","62","  220","  260","19.9","25.9",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-06-18","10.74"," 1550","0.00","91","63","  250","  270","25.9","31.1",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-06-19","8.95"," 1510","0.00","91","56","  260","  290","21.9","28.0",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-06-20","11.63"," 1354","0.00","92","59","  260","  270","25.9","36.9",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-06-21","15.21"," 1513","0.00","90","60","  240","  260","25.9","36.0",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-06-22","12.08"," 1145","0.00","88","61","  260","  250","23.0","30.0",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-06-23","10.07"," 1653","0.00","89","54","  260","  260","21.0","23.9",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-06-24","8.50"," 1409","0.00","92","59","  260","  270","19.9","29.1",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-06-25","9.17"," 1448","0.00","94","57","  260","  260","21.9","25.9",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-06-26","8.95"," 1539","0.00","93","61","  220","  220","23.0","30.0",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-06-27","10.07"," 1333","0.00","97","64","  270","  280","21.0","28.0",,,
